,1,X,2
Western Sydney Wanderers - Sydney FC,4.5,3.75,1.7
Yokohama FC - Kashima,18.0,5.5,1.18
Suwon Bluewings - Pohang Steelers,70.0,6.5,1.11
Eastern Suburbs - Peninsula Power,7.5,4.5,1.36
Queensland Lions FC - Olympic FC,2.15,3.0,3.0
Capalaba - Logan Lightning FC,4.0,4.25,1.55
Granada B - CD Marino,2.0,3.25,3.5
Bayside United - Toowong FC,2.2,2.4,4.25
Brisbane Knights - St. George Willawong FC,25.0,10.0,1.04
Acacia Ridge All Stars - Uni of Queensland,2.7,2.8,2.7
Marconi Stallions - Blacktown City FC,9.0,3.75,1.38
Mt Druitt Rangers - Rockdale City Suns,3.5,3.25,1.95
North Shore Mariners FC - Apia Leichhardt Tigers,2.9,3.25,2.2
Beijing Tech FC - Shenyang Urban FC,250.0,12.0,1.01
Monaro Panthers - Canberra FC,75.0,7.0,1.09
Fulham United (W) - Adelaide City (W),250.0,250.0, 
West Adelaide (W) - Adelaide University SC (W),2.0,2.15,7.0
Taichung Blue Whale (W) - Taipei Play One (W), ,81.0,501.0
Zvezda-2005 (W) - FC Chertanovo (W),1.8,2.4,7.5
FK Rostov Femenino - Rubin FC (W),1.26,4.5,10.0
Dak Lak FC - Tuan Tu Phu Tho,6.5,3.0,1.65
Hue FC - Quang Nam,2.2,3.0,3.0
TTBD Phu Dong - An Giang,1.24,4.75,12.0
Lucko - Hask Zagreb,1.46,3.75,7.0
Gaj Mace - Nk Trnje,3.25,3.0,2.1
Unia Janikowo - Kotwica Kolobrzeg,2.1,2.8,3.5
GKS Przodkowo - Baltyk Gdynia,2.4,2.9,2.9
Atletico de Aspe (W) - Discobolo La Torre AC (W),5.5,4.25,1.48
SD Eibar (W) - UDG Tenerife Sur (W),1.95,3.25,3.5
Northern Tigers FC - Bonnyrigg White Eagles,1.95,3.5,3.25
Mounties Wanderers FC - Raiders,2.4,3.25,2.5
Magpies Crusaders - Brisbane Roar U21,16.0,9.0,1.07
Farul Constanta - Universitatea Cluj,2.4,3.4,2.5
Adelaide Hills - Eastern United,1.95,4.0,2.8
Ulsan Hyundai Horang-i - Gwangju FC,1.55,3.7,5.5
Chaves - Mafra,1.55,3.25,5.5
Orleta Radzyn Podlaski - KS Wiazownica,2.4,3.2,2.6
CD Agoncillo - CP Calasancio,1.55,3.75,5.5
Paterna CF - Villajoyosa,2.1,3.25,3.0
UDC Txantrea - CD Pena Azagresa,1.38,4.25,7.5
Gornik Leczna (W) - Medyk Konin (W),1.35,5.0,5.5
Atlético de Madrid Femenino - Rayo Vallecano Femenino,1.14,7.0,12.0
FC Krasnodar (W) - Zenit Saint Petersburg (W),9.0,4.5,1.28
Mohammedan Dhaka - Arambagh,1.1,8.0,16.0
Pevidem SC - CD Trofense,3.0,3.0,2.2
Tulevik ja Suure-Jaani (W) - Tartu JK Tammeka (W),1.7,4.0,3.5
FK Aksu Pavlodar - FK Kyran,4.0,3.5,1.7
FK Maqtaaral Jetisay - Okzhetpes,2.5,3.25,2.4
FC Slonim - Baranovichi,2.15,3.6,2.7
RC Oued Rhiou U21 - CRB Ain Oussera U21,2.8,3.0,2.3
MSP Batna U21 - HB Chelghoum Laid U21,1.85,3.6,3.25
OM Arzew U21 - MC Saida U21,3.75,3.25,1.85
MO Constantine U21 - US Chaouia U21,2.15,3.25,2.9
NRB Teleghma U21 - CRB Ouled Djellal U21,2.9,3.0,2.2
RC Kouba U21 - Usm Blida U21,2.0,3.25,3.0
IRB El Kerma U21 - MCB Oued Sly U21,4.33,3.5,1.6
DRB Tadjenant U21 - AS Khroub U21,1.4,4.5,5.5
JSM Bejaia U21 - USM El Harrach U21,1.65,3.6,4.25
Eskisehirspor - Bursaspor,6.0,4.5,1.35
Napoli Calcio (W) - San Marino Academy (W),1.5,4.0,5.0
Chrobry Glogow - LKS Lodz,3.75,3.25,1.91
Rotor Volgograd - Akhmat Grozny,3.0,3.0,2.3
Rubin Kazan - Dynamo Moscú,2.9,3.1,2.25
Neman Grodno - Isloch,1.8,3.25,3.75
BFC Daugavpils - Liepajas Metalurgs,5.0,3.75,1.55
Norrby IF - Landskrona,2.1,3.0,3.25
Hvidovre - Skive,1.95,3.0,3.7
IF Karlstad - Hudiksvalls FF,1.28,5.0,6.5
Gefle - Umea FC,2.25,3.4,2.6
FK Desna Chernihiv - Kolos Kovalyovka,2.15,3.1,3.1
MKS Kutno - Blonianka Blonie,2.8,3.25,2.25
Cracovia Krakow II - SKS Wisla Sandomierz,1.55,3.5,5.0
Unia Swarzedz - Gwardia Koszalin,2.15,3.75,2.7
Zaglebie Lubin II - Mks Kluczbork,1.7,3.5,3.75
Jutrzenka Giebultow - NKP Podhale Nowy Targ,3.25,3.25,1.91
Ararat Armenia - FC Ararat Yerevan,2.0,3.0,3.4
Ratnam SC - Blue Star SC,2.9,3.4,2.1
Las Palmas C - CD Mensajero FC,3.0,3.0,2.1
Pho Hien FC - Cong An Nhan Dan,1.95,3.25,3.4
Chelsea SS (HK) (W) - HKFC (W),5.0,4.5,1.42
Forrestfield United - Quinns FC,4.33,4.5,1.5
