,1,X,2
SD Eibar - UDG Tenerife Sur,2.05,3.25,3.20
ASPE - Discobolo La Torre AC,5.00,3.75,1.55
Club Recreativo Granada - CD Marino,2.00,3.40,3.20
Atletico Madrid - Rayo Vallecano,1.16,7.00,9.75
Paterna CF - Villajoyosa CF,2.10,3.20,2.95
UDC Txantrea KKE - CD Pena Azagresa,1.40,4.20,5.50
CD Agoncillo - CP Calasancio,1.57,3.70,4.50
CD Rota - Cordoba CF B,10.50,6.00,1.15
UD Las Palmas C - CD Mensajero,3.00,3.40,2.00
SD Eibar - Deportivo Alaves,2.45,3.10,3.10
CDEF Logrono - Real Betis,2.65,3.60,2.20
Amorebieta - SD Logrones,1.90,2.85,4.10
Girona - Tenerife,2.20,2.95,3.60
Valencia Mestalla - Espanyol B,2.65,2.85,2.55
Elche - Atletico Madrid,8.75,4.50,1.40
Union Mutilvera - SD Leioa,1.80,3.40,3.70
Olimpico de Leon - CD San Pio X,1.10,8.75,12.00
Racing Club Ferrol - Numancia,2.35,2.65,3.20
Athletic Club B - Tudelano,1.70,3.00,5.00
Atzeneta UE - UE Olot,2.25,2.90,3.00
CP Villarrobledo - Las Rozas CF,3.80,3.20,1.85
Cordoba - Valencia B,1.50,4.10,5.00
UD Villa de Santa Brigida - Club Atletico Victoria,1.90,3.20,3.40
Atletico Levante UD - UE Cornella,2.60,2.80,2.65
Caudal - Real Titanico de Laviana,1.48,3.70,5.50
UD Gijon Industrial - CD Tuilla,3.60,3.40,1.80
Real Jaen CF - CD Estepona FS,1.48,4.00,5.00
UD Los Barrios - CD Utrera,3.80,3.25,1.80
CD Parquesol - Athletic Club B,7.50,5.00,1.28
RCD Mallorca - Mirandes,1.62,3.40,6.25
UD Almeria - Real Oviedo,1.91,3.20,4.20
Huesca - Real Sociedad,3.75,3.40,2.05
CD Genova - CD Binissalem,2.10,3.10,3.00
La Solana - UB Conquense,2.05,3.10,3.10
Real Madrid - Osasuna,1.40,4.75,8.00
