,Partido,1,2
0,Aryna Sabalenka - Anastasia Pavlyuchenkova,1.001,20.0
1,A Krunic / U Radwanska - Q Gleason / J Loeb,1.18,4.5
2,I M Bara / M Sherif Ahmed Abdelaziz - H Baptiste / W Osuigwe,4.2,1.2
3,I Burillo Escorihuela / D Papamichail - E Hayashi / K Morisaki,12.0,1.02
4,B Gatica / R Pereira - M Kempen / R Mcadoo,4.33,1.2
5,O Govortsova / R Zarazua - E Hozumi / M Kato,1.6,2.1
6,C Perrin / T Sugnaux - S Bandecchi / L Stefanini,2.75,1.4
7,Jasmine Paolini - Anna-Karolina Schmiedlova,2.25,1.57
8,Carter / Stefani - Lechemia / Wachaczyk,1.15,4.5
9,Vit Kopriva - Michael Vrbensky,1.45,2.5
10,Dominic Thiem - John Isner,1.3,3.5
11,Koolhof / Kubot - Mektic / Pavic,3.0,1.34
12,Oscar Otte - Maxime Cressy,1.28,3.3
13,Ostapenko / Pavlyuchenkova - Dabrowski / Schuurs,2.4,1.5
14,Gille / Vliegen - Dodig / Polasek,2.5,1.5
15,Rafael Nadal - Alexander Zverev,1.2,4.5
16,Aliona Bolsova - Harmony Tan,1.67,2.1
17,Granollers / Zeballos - Herbert / Mahut,2.25,1.58
18,Bopanna / Shapovalov - Puetz / Zverev,1.75,1.95
19,Alexander Bublik - Casper Ruud,3.5,1.3
20,Matteo Berrettini - Cristian Garin,1.54,2.45
