,Partido,1,2
0,Lorenzo Sonego - Holger Vitus Nodskov Rune,"1,36","3,10"
1,Vasek Pospisil - Andy Murray,"2,40","1,57"
2,Mikael Ymer - Pablo Carreño Busta,"2,62","1,47"
3,J Munar / M Polmans - A Bublik / A Golubev,"1,45","2,70"
4,S Gonzalez / A Molteni - D Popko / T Skatov,"1,10","7,00"
5,Ann Li - Harriet Dart,"1,18","4,75"
6,Lauren Davis - Katie Volynets,"1,15","5,50"
7,Hailey Baptiste - Nuria Parrizas Diaz,"2,20","1,66"
8,I Neel / S Santamaria - X Wang / S Zheng,"1,80","2,00"
9,M Bolkvadze / R Zarazua - M Inglis / K Okamura,"1,53","2,50"
10,E Liang / R Marino - E Jacquemot / E Yu,"2,00","1,80"
11,Anastasia Potapova - Petra Kvitova,"3,50","1,30"
12,Paula Badosa Gibert - Anett Kontaveit,"1,90","1,87"
13,Gerald Melzer - Patrick Kypson,"1,47","2,50"
