,Partido,1,2
0,R. Bopanna / D. Shapova - T. Puetz / A. Zve,1.70,2.10
1,M. Granollers / H. Zebal - P.-H. Herbert / N. Ma,2.30,1.60
2,W. Koolhof / L. Ku - N. Mektic / M. Pa,2.90,1.40
3,S. Gille / J. Vlie - I. Dodig / F. Pola,2.60,1.48
4,Dominic Thiem - John Isner,1.30,3.40
5,Rafael Nadal - Alexander Zverev,1.20,4.33
6,Alexander Bublik - Casper Ruud,3.40,1.30
7,Jasmine Paolini - Anna Karolina Schmiedlova,2.15,1.62
8,Aliaksandra Sasnovich - Viktorija Golubic,2.00,1.72
9,Varvara Gracheva - Rebecca Peterson,1.65,2.10
10,Aliona Bolsova Zadoinov - Harmony Tan,1.70,2.05
11,H. Carter / L. Stef - E. Lechemia / J. Wachac,1.11,6.00
12,A. Sasnovich / C. Tau - K. Christian / S. Santama,1.91,1.83
13,J. Ostapenko / A. Pavlyuchenk - G. Dabrowski / D. Schu,2.40,1.53
14,Aryna Sabalenka - Anastasia Pavlyuchenkova, Set 2 1.01, Set 2 20.00
15,Marat Deviatiarov - Felix Corwin,2.65,1.40
16,Zane Khan - Ben Patael,1.28,3.25
17,Alexandar Lazarov - Yshai Oliel,1.90,1.78
18,Edan Leshem - Alexander Cozbinov,1.50,2.35
19,Alexander Erler - Nick Hardt,1.50,2.35
20,Filip Cristian Jianu - Orlando Luz,1.85,1.83
21,Colin Sinclair - Sandro Ehrat,3.40,1.26
22,Sandro Kopp - Adrian Andreev,4.75,1.14
23,Johan Nikles - Pedro Vives Marcos,1.48,2.40
24,Nuno Borges - Eduard Esteve Lobato,1.28,3.20
25,Matteo Martineau - Alex Rybakov,1.57,2.20
26,Georgii Kravchenko - Oriol Roca Batalla,2.05,1.65
27,Polina Leykina - Caijsa Wilda Hennemann,2.10,1.62
28,Misaki Matsuda - Ilay Yoruk,1.11,5.25
29,Andreea Amalia Rosca - Olivia Gadecki,1.40,2.65
30,Ekaterina Shalimova - Julia Avdeeva,2.55,1.44
31,A. Krunic / U. Radwan - Q. Gleason / J. L,1.18,4.25
32,I. M. Bara / M. Sherif Ahmed Abdela - H. Baptiste / W. Osui,3.60,1.25
33,Alicia Barnett - Shavit Kimchi,1.85,1.83
34,Lina Glushko - Ekaterina Yashina,1.67,2.05
35,Hiroko Kuwata - Valentina Ryser,2.00,1.70
36,Alexandra Osborne - Clara Vlasselaer,2.40,1.48
37,J. Cabaj Awad / F. Jo - D. Marcinkevica / G. Poznikhire,1.95,1.70
38,C. Perrin / T. Sugn - S. Bandecchi / L. Stefan,2.60,1.40
39,I. Burillo Escorihuela / D. Papamich - E. Hayashi / K. Moris,10.00,1.02
40,Vit Kopriva - Michael Vrbenský,1.48,2.45
41,Oscar Otte - Maxime Cressy,1.30,3.20
42,Tallon Griekspoor - Frederico Ferreira Silva,1.85,1.85
43,Norbert Gombos - Sumit Nagal,1.60,2.20
44,Guido Andreozzi - Andrea Collarini,1.95,1.75
45,Juan Pablo Varillas - Alexandre Muller,1.65,2.10
